Ciudad,via,tipo radar,km,direccion
,EX-106,Radar Móvil,0.000-6.710,6.710
,EX-108,Radar Fijo,90.759,Decreciente
,EX-108,Radar Móvil,81.310-101.960,101.960
,EX-109,Radar Móvil,0.000-21.500,21.500
,EX-109,Radar Fijo,15.01,Decreciente
,EX-116,Radar Móvil,9.000-35.000,35.000
,EX-118,Radar Móvil,0.000-72.000,72.000
,EX-119,Radar Fijo,2.806,Decreciente
,EX-119,Radar Móvil,0.000-32.530,32.530
,EX-203,Radar Fijo,22.254,Creciente
,EX-203,Radar Móvil,12.000-16.000,16.000
,EX-203,Radar Móvil,2.700-7.000,7.000
,EX-203,Radar Móvil,34.000-37.000,37.000
,EX-205,Radar Móvil,68.480-110.380,110.380
,EX-206,Radar Móvil,0.000-58.140,58.140
,EX-207,Radar Móvil,0.000-5.400,5.400
,EX-207,Radar Móvil,7.500-35.000,35.000
,EX-208,Radar Móvil,38.000-73.000,73.000
,EX-208,Radar Móvil,78.500-102.000,102.000
,EX-303,Radar Móvil,2.790-13.570,13.570
,EX-355,Radar Móvil,5.000-15.000,15.000
,EX-370,Radar Móvil,3.000-33.000,33.000
,N-110,Radar Fijo,384.326,Creciente
,N-110,Radar Móvil,380.000-384.000,384.000
,N-110,Radar Móvil,400.000-403.000,403.000
,N-521,Radar Fijo,53.956,Creciente
,N-521,Radar Fijo,91.186,Decreciente
,N-521,Radar Móvil,31.000-41.700,41.700
,N-630,Radar Móvil,450.240-461.740,461.740
,N-630,Radar Móvil,461.740-474.320,474.320
,N-630,Radar Móvil,479.250-489.010,489.010
,A-2000,Radar Móvil,1.440-12.890,12.890
,A-2001,Radar Móvil,0.000-6.410,6.410
,A-2002,Radar Móvil,1.870-9.000,9.000
,A-2077,Radar Móvil,0.000-8.840,8.840
,A-2078,Radar Móvil,3.820-5.780,5.780
,A-2100,Radar Móvil,3.960-12.960,12.960
,A-371,Radar Móvil,16.580-29.680,29.680
,A-372,Radar Móvil,0.000-11.250,11.250
,A-372,Radar Móvil,16.280-26.060,26.060
,A-373,Radar Móvil,0.000-4.330,4.330
,A-373,Radar Móvil,17.790-29.000,29.000
,A-373,Radar Móvil,4.330-8.890,8.890
,A-373,Radar Móvil,8.890-17.410,17.410
,A-374,Radar Móvil,0.000-8.750,8.750
,A-381,Radar Fijo,37.3,Decreciente
,A-381,Radar Fijo,74.7,Creciente
,A-384,Radar Fijo,8.075,Creciente
,A-384,Radar Móvil,0.000-4.620,4.620
,A-384,Radar Móvil,16.080-37.980,37.980
,A-384,Radar Móvil,31.250-36.650,36.650
,A-384,Radar Móvil,37.980-48.120,48.120
,A-384,Radar Móvil,8.560-14.390,14.390
,A-390,Radar Móvil,0.000-3.100,3.100
,A-396,Radar Móvil,13.300-30.210,30.210
,A-4,Radar Fijo,645.4,Decreciente
,A-408,Radar Fijo,2.45,Creciente
,A-471,Radar Móvil,36.840-54.040,54.040
,A-471,Radar Móvil,54.040-60.300,60.300
,A-491,Radar Móvil,0.000-6.240,6.240
,A-491,Radar Móvil,7.570-17.520,17.520
,A-491R,Radar Móvil,0.000-5.490,5.490
,A-7,Radar Fijo,118.82,Decreciente
,CA-31,Radar Fijo,0.675,Decreciente
,CA-3100,Radar Móvil,0.000-4.020,4.020
,CA-3106,Radar Móvil,0.000-3.040,3.040
,CA-33,Radar Tramo,12.2(3.148m),m)
,CA-33,Radar Fijo,3.97,Creciente
,CA-33,Radar Fijo,4.4,Decreciente
,CA-33,Radar Tramo,9.16(3.612m),m)
,CA-34,Radar Fijo,0.05,Decreciente
,CA-35,Radar Tramo,2.737(4.243m),m)
,CA-35,Radar Tramo,7.02(4.249m),m)
,CA-36,Radar Fijo,3,Creciente
,N-340,Radar Fijo,70.375,Creciente
,N-340,Radar Móvil,34.970-40.020,40.020
,N-340,Radar Móvil,40.020-83.010,83.010
,N-340,Radar Móvil,83.010-102.390,102.390
,N-340,Radar Fijo,84.86,Creciente
,N-357,Radar Fijo,3.013,Creciente
,N-357,Radar Fijo,3.515,Creciente
,N-357,Radar Fijo,5.528,Creciente
,N-357,Radar Fijo,0.45,Decreciente
,N-357,Radar Fijo,3.91,Creciente
,N-IV,Radar Fijo,618.81,Creciente
,N-IV,Radar Móvil,619.520-627.870,627.870
,A-67,Radar Fijo,185.05,Decreciente
,A-67,Radar Fijo,191.68,Creciente
,A-67,Radar Fijo,195.4,Decreciente
,A-67,Radar Fijo,195.68,Creciente
,A-8,Radar Fijo,143.7,Decreciente
,A-8,Radar Fijo,144.48,Creciente
,A-8,Radar Fijo,147.5,Decreciente
,A-8,Radar Fijo,172.85,Creciente
,CA-131,Radar Móvil,5.130-31.030,31.030
,CA-132,Radar Móvil,0.000-6.030,6.030
,CA-135,Radar Móvil,0.000-10.990,10.990
,CA-141,Radar Móvil,4.670-30.900,30.900
,CA-142,Radar Móvil,0.000-10.070,10.070
,CA-142,Radar Móvil,10.070-27.040,27.040
,CA-146,Radar Móvil,0.000-10.900,10.900
,CA-147,Radar Móvil,0.000-7.410,7.410
,CA-148,Radar Móvil,0.000-4.880,4.880
,CA-151,Radar Móvil,0.000-13.870,13.870
,CA-170,Radar Móvil,0.000-10.980,10.980
,CA-171,Radar Móvil,0.440-21.170,21.170
,CA-180,Radar Móvil,0.000-11.720,11.720
