Ciudad,via,tipo radar,km,direccion
Asturias,AS-16,Radar Fijo,9.5,Creciente
Asturias,AS-17,Radar Fijo,22.615,Creciente
Asturias,AS-17,Radar Móvil,4.000-19.380,19.380
Asturias,AS-19,Radar Móvil,0.130-16.700,16.700
Asturias,AS-237,Radar Móvil,0.000-26.130,26.130
Asturias,AS-246,Radar Móvil,0.000-33.110,33.110
Asturias,AS-248,Radar Móvil,0.000-19.580,19.580
Asturias,AS-253,Radar Móvil,0.000-26.420,26.420
Asturias,AS-266,Radar Móvil,4.526-18.710,18.710
Asturias,GJ-81,Radar Fijo,2.025,Decreciente
Asturias,N-625,Radar Móvil,130.780-162.100,162.100
Asturias,N-630,Radar Móvil,33.240-48.090,48.090
Asturias,N-630,Radar Móvil,67.210-87.080,87.080
Asturias,N-632,Radar Móvil,0.000-42.770,42.770
Asturias,N-632,Radar Fijo,100.4,Creciente
Asturias,N-632,Radar Móvil,42.750-71.600,71.600
Asturias,N-632,Radar Móvil,96.000-160.000,160.000
Asturias,N-632,Radar Fijo,98.75,Decreciente
Asturias,N-634,Radar Móvil,326.910-340.000,340.000
Asturias,N-634,Radar Móvil,340.000-361.710,361.710
Asturias,N-634,Radar Móvil,361.710-382.160,382.160
Asturias,N-634,Radar Móvil,382.152-400.769,400.769
Asturias,N-634,Radar Móvil,495.140-525.030,525.030
Asturias,N-640,Radar Móvil,0.170-11.920,11.920
Ávila,AP-6,Radar Fijo,106.97,Creciente
Ávila,AP-6,Radar Fijo,108.63,Decreciente
Ávila,AV-500,Radar Móvil,0.000-22.230,22.230
Ávila,AV-502,Radar Móvil,0.000-19.250,19.250
Ávila,AV-800,Radar Móvil,0.000-26.140,26.140
Ávila,AV-804,Radar Móvil,21.070-44.920,44.920
Ávila,AV-902,Radar Móvil,0.000-20.710,20.710
Ávila,AV-905,Radar Móvil,0.000-35.880,35.880
Ávila,CL-501,Radar Móvil,10.490-60.640,60.640
Ávila,CL-501,Radar Fijo,18.8,Creciente
Ávila,CL-501,Radar Móvil,60.640-91.740,91.740
Ávila,CL-505,Radar Móvil,1.080-42.020,42.020
Ávila,CL-505,Radar Fijo,29.46,Creciente
